id;titre;image_infos;image_infos_content_type;contenu
1;environ du moment que;../fake-data/blob/hipster.png;image/png;boum manger bè
2;du fait que;../fake-data/blob/hipster.png;image/png;d'avec même si rectangulaire
3;croâ;../fake-data/blob/hipster.png;image/png;ouch franco derechef
4;incognito;../fake-data/blob/hipster.png;image/png;contre du fait que
5;partenaire smack;../fake-data/blob/hipster.png;image/png;à même
6;pour;../fake-data/blob/hipster.png;image/png;vraiment pis
7;afin que;../fake-data/blob/hipster.png;image/png;porte-parole du fait que extatique
8;plutôt;../fake-data/blob/hipster.png;image/png;pauvre
9;fermer;../fake-data/blob/hipster.png;image/png;vers pff pauvre
10;en decà de géométrique pendant que;../fake-data/blob/hipster.png;image/png;vers enfin
